Name,RA,DECL,Equinox,Vmag,Sp.Type,"dist (pc)",star_id,star_id_str
HIP2,"0  0 1.22","-19 29 55",2000,9.27,K3V,45.60,1,star1
HIP169,"0  2 9.33","-68 16 54",2000,9.24,M0V,15.80,2,star2
HIP171,"0  2 11.0","27  4 41",2000,5.80,G3V,12.40,3,star3
HIP194,"0  2 29.6","8 29  6",2000,5.70,F0V,37.60,4,star4
HIP400,"0  4 56.7","23 16 10",2000,7.82,G9V,25.60,5,star5
HIP428,"0  5 12.2","45 47  9",2000,9.95,M2,11.40,6,star6
HIP436,"0  5 17.3","-67 50  6",2000,8.49,K5V,16.00,7,star7
HIP443,"0  5 20.1","-5 42 26",2000,4.61,K1III,39.40,8,star8
GJ1,"0  5 31.9","-37 22  4",2000,8.54,M1.5V,4.34,9,star9
HIP518,"0  6 16.3","58 26 12",2000,5.98,G5V,20.20,10,star10
HIP522,"0  6 20.1","-49  4 31",2000,5.70,G1IV...,25.60,11,star11
HIP544,"0  6 37.2","29  1 14",2000,6.07,K0V,13.70,12,star12
GJ1002,"0  6 42.9","-7 32 51",2000,13.70,M5.0V,4.69,13,star13
HIP560,"0  6 50.1","-23  6 27",2000,6.19,F2IV,39.00,14,star14
HIP677,"0  8 23.4","29  5 22",2000,2.07,B9p,29.70,15,star15
HIP910,"0 11 15.7","-15 28  9",2000,4.89,F5V,18.80,16,star16
HIP916,"0 11 21.6","58 21  0",2000,9.50,K7,28.00,17,star17
HIP950,"0 11 44.2","-35  7 57",2000,5.24,F3/F5V,21.80,18,star18
HIP974,"0 12 4.36","27  5 54",2000,8.73,K0,25.70,19,star19
HIP1031,"0 12 50.0","-57 54 44",2000,7.22,K0V,20.30,20,star20
HIP1086,"0 13 30.6","41  2  4",2000,5.71,F0IV,35.00,21,star21
HIP1242,"0 15 28.9","-16  8 11",2000,11.40,M:,5.21,22,star22
HIP1292,"0 16 15.3","-79 51  5",2000,6.59,G6V,17.60,23,star23
HIP1349,"0 16 54.4","-52 39  1",2000,6.84,G2V,23.00,24,star24
HIP1368,"0 17 7.17","40 56 55",2000,8.99,M0,14.90,25,star25
HIP1444,"0 17 59.3","-13 27 20",2000,6.51,G2V,26.10,26,star26
HIP1463,"0 18 16.5","10 12  9",2000,10.80,M0,16.20,27,star27
HIP1473,"0 18 19.5","36 47  6",2000,4.51,A2V,43.20,28,star28
GJ15A,"0 18 27.1","44  1 29",2000,8.08,M1.5V,3.57,29,star29
GJ15B,"0 18 29.7","44  1 44",2000,11.00,M3.5V,3.57,30,star30
HIP1499,"0 18 42.3","-8  3 13",2000,6.47,G0V,23.40,31,star31
HIP1532,"0 19 5.51","-9 57 58",2000,9.90,K7V,20.70,32,star32
HIP1599,"0 20 8.54","-64 52 10",2000,4.23,F9V,8.59,33,star33
HIP1692,"0 21 13.3","-8 16 52",2000,9.19,K2,23.00,34,star34
HIP1768,"0 22 23.8","-27  2  3",2000,8.30,K1V,22.40,35,star35
HIP1803,"0 22 52.2","-12 12 33",2000,6.39,G3V,20.30,36,star36
HIP1837,"0 23 15.9","-33 10  1",2000,8.74,K3/K4V,22.20,37,star37
HIP1936,"0 24 26.7","-27  1 35",2000,7.92,K2V,18.00,38,star38
HIP2072,"0 26 12.3","-43 40 46",2000,3.93,A7V,23.50,39,star39
HIP2081,"0 26 17.3","-42 18 27",2000,2.40,K0III..,23.70,40,star40
HIP2120,"0 26 52.2","70  8 30",2000,10.50,M0,16.20,41,star41
HIP2422,"0 30 56.6","77  1  9",2000,6.18,K0IV,39.40,42,star42
HIP2552,"0 32 34.2","67 14  4",2000,10.20,M2.5Ve,10.10,43,star43
HIP2578,"0 32 44.1","-63  1 54",2000,5.07,A0V,46.40,44,star44
HIP2711,"0 34 28.2","-52 22 22",2000,5.57,F3IV-V,25.60,45,star45
HIP2762,"0 35 15.3","-3 35 34",2000,5.20,F8V...,21.00,46,star46
HIP2852,"0 36 6.77","-22 50 33",2000,6.06,A5m...,49.70,47,star47
HIP2941,"0 37 22.3","-24 46  2",2000,5.57,K1V+...,15.50,48,star48
HIP3092,"0 39 19.8","30 51 38",2000,3.27,K3III..,31.00,49,star49
HIP3093,"0 39 21.2","21 14 55",2000,5.88,K0V,11.10,50,star50
HIP3170,"0 40 27.5","-59 27  9",2000,5.89,G1V,25.40,51,star51
HIP3206,"0 40 49.7","40 11  3",2000,7.36,K2V,17.20,52,star52
HIP3418,"0 43 32.5","33 50 34",2000,8.73,K8,20.70,53,star53
HIP3419,"0 43 35.6","-17 59 11",2000,2.04,K0III,29.30,54,star54
HIP3497,"0 44 39.6","-65 39 10",2000,6.55,G3V,21.80,55,star55
HIP3505,"0 44 44.3","-22  0 20",2000,5.22,F0V,27.80,56,star56
HIP3535,"0 45 4.83","1 46 58",2000,8.03,K2V,22.00,57,star57
HIP3583,"0 45 45.8","-47 33  5",2000,5.80,G5IV,14.90,58,star58
HIP3588,"0 45 48.7","-41 54 34",2000,7.89,"K5V com",16.00,59,star59
HIP3765,"0 48 23.7","5 16 31",2000,5.74,K2V,7.46,60,star60
HIP3821,"0 49 8.46","57 48 45",2000,3.46,"G0V SB",5.95,61,star61
HIP3850,"0 49 27.3","-23 12 43",2000,7.15,G8/K0V,18.80,62,star62
HIP3876,"0 49 47.6","70 27  1",2000,7.75,K0,21.50,63,star63
HIP3909,"0 50 7.34","-10 38 43",2000,5.17,F7IV-V,15.40,64,star64
HIP3979,"0 51 11.1","-5  2 23",2000,6.98,G0,22.00,65,star65
HIP3998,"0 51 21.8","18 44 16",2000,9.22,K2,21.80,66,star66
HIP4022,"0 51 34.7","-22 54 40",2000,8.95,K5V,15.10,67,star67
HIP4148,"0 53 1.90","-30 21 24",2000,7.15,K2V,14.00,68,star68
HIP4151,"0 53 4.04","61  7 28",2000,4.80,F8V,18.50,69,star69
HIP4288,"0 54 58.2","23 37 41",2000,5.46,K1IV,38.90,70,star70
HIP4436,"0 56 45.4","38 29 58",2000,3.86,A5V,41.70,71,star71
HIP4454,"0 57 6.54","69  2 32",2000,9.12,K4V,24.10,72,star72
HIP4473,"0 57 22.1","-62 14 42",2000,9.50,K7V,19.30,73,star73
HIP4569,"0 58 29.4","-27 51 30",2000,11.70,,13.10,74,star74
HIP4845,"1  2 21.1","-10 25 28",2000,10.00,K7V,21.60,75,star75
HIP4849,"1  2 24.9","5  3 44",2000,8.16,K2,21.40,76,star76
HIP4856,"1  2 38.1","71 40 41",2000,9.98,M3.5e,8.14,77,star77
HIP4872,"1  2 40.5","62 20 43",2000,9.56,K5V...,10.00,78,star78
HIP4907,"1  2 57.8","69 13 35",2000,7.67,G5,25.80,79,star79
HIP5027,"1  4 24.1","-25 36 23",2000,9.78,K4/K5V,25.60,80,star80
HIP5110,"1  5 29.9","15 23 21",2000,8.66,K2V,26.50,81,star81
HIP5247,"1  7 11.9","63 56 33",2000,9.00,K7V,15.00,82,star82
HIP5286,"1  7 37.9","22 57 10",2000,8.41,K4V,20.70,83,star83
HIP5310,"1  7 57.2","20 44 19",2000,5.56,A3V,49.40,84,star84
HIP5346,"1  8 21.9","5 38 56",2000,5.51,F0III-I,35.90,85,star85
HIP5336,"1  8 22.7","54 54 47",2000,5.17,G5Vp,7.55,86,star86
HIP5364,"1  8 35.6","-10 10 58",2000,3.46,K2III,36.00,87,star87
HIP5369,"1  8 40.2","17 14 24",2000,10.50,K6,27.70,88,star88
HIP5496,"1 10 23.9","-67 26 32",2000,9.80,K,8.13,89,star89
HIP5521,"1 10 41.6","42 55 51",2000,7.66,K0,26.70,90,star90
HIP5542,"1 11 6.58","55  8 59",2000,4.34,A7Vvar,42.10,91,star91
GJ54.1,"1 12 31.9","-16 59 45",2000,12.10,M4.0V,3.71,92,star92
HIP5663,"1 12 46.2","-25 14  7",2000,9.55,K4V,22.00,93,star93
HIP5799,"1 14 24.1","-7 55 17",2000,5.14,F5V,24.30,94,star94
HIP5842,"1 15 2.22","-68 49  6",2000,7.22,K2V,21.10,95,star95
HIP5862,"1 15 12.1","-45 31 51",2000,4.97,F8V,15.00,96,star96
HIP5896,"1 15 47.3","-68 52 31",2000,4.25,F6IV,20.40,97,star97
HIP5938,"1 16 24.3","-12  5 49",2000,7.55,K0V,26.50,98,star98
HIP5944,"1 16 29.0","42 56 21",2000,6.59,G0,23.60,99,star99
HIP5957,"1 16 39.8","25 19 51",2000,10.10,K5,22.70,100,star100
HIP6069,"1 17 53.3","5 28 16",2000,11.00,M2V:,15.30,101,star101
